 6540	10762	1413	4195	13151	10433	19623	15837	17439	12885	8468	883	9784	287	4667	19380	3696	17959	15518	2276	15254	690	9713	14123
14814	13118	5254	15832	18848	14670	5987	16553	13266	7572	6584	19291	12201	12965	12110	2847	13123	16629	5902	13682	8621	1409	13931	3411	12215
4613	1281	3262	5067	13082	16545	15287	3135	19250	4174	8575	3154	2088	9734	3662	7783	19391	5790	17215	17245	816	2657	894	12747	3965
16191	6018	9512	11595	14097	15008	19719	5408	5855	19254	6951	14674	751	11405	10735	18997	7743	9994	19962	18965	18105	6447	6075	1697	728
14300	7596	5959	17142	13289	16109	15612	7835	11055	12581	7478	4158	13486	6805	14069	813	19169	13847	17018	1276	370	9676	961	18409	820
12549	15209	18013	1090	2487	1045	13012	9471	12894	3931	6474	12627	18433	9981	10511	4008	17046	2814	17415	10936	5137	16183	6268	13452	16265
3595	14691	3899	18765	12854	10187	3149	15856	469	7679	10126	12116	9400	3071	998	7665	18991	14836	19440	4212	10229	4006	11510	14396	3184
50	2051	9747	1702	6321	861	6711	10489	5774	3882	18676	10078	9925	17830	14524	9816	4681	7960	4223	6627	18933	7109	15357	3156	11261
10782	13336	5138	18807	12380	6578	12868	5936	6763	9782	11915	17	6343	15849	697	4989	9180	6202	18347	7355	14523	6924	17262	2852	614
14939	8537	19395	17740	1934	8641	14693	292	17815	14086	15734	16424	3876	17957	5985	14760	13763	5908	10100	11827	6401	15318	10838	10080	17975
1332	12971	6846	5477	14199	14308	18087	3386	5043	5037	11768	4430	8598	11302	755	13366	5269	14624	9930	3526	8052	2934	15716	10548	9603
10868	8546	1741	16395	19098	5515	15677	10931	11230	2882	17644	11176	8233	9873	14123	4728	6837	12346	15427	17024	16852	14800	14559	18474	9129
14490	19937	14753	4450	9620	9515	15510	268	9542	16984	2821	7459	16040	17105	17518	11709	17528	9107	18547	6597	3711	4189	95	6479	11682
19690	5230	14331	4380	15618	14616	17327	9455	9854	17914	3828	14636	2514	15263	19232	1635	4847	14780	13118	11961	8790	3232	19181	6959	4768
2936	19952	4962	483	1997	6021	18334	15783	19555	5858	10173	10990	15841	889	9218	8008	6991	18888	16486	6135	5880	15522	14499	10992	17486
11533	8361	4016	7892	10194	2801	4082	12117	4821	16436	5459	2477	238	10343	15754	7262	12030	19465	11067	18460	11314	4234	5292	19779	5474
5495	9196	8194	14272	5404	8836	1650	19264	12947	8721	632	884	17183	7314	16574	5640	7984	11519	4714	14559	16238	9287	5345	5218	3387
8947	32	3992	9764	14887	9324	8817	11970	4491	7334	17653	517	99	6189	6980	3508	15369	3337	10258	15197	10704	16436	6970	1558	17022
14646	14559	18018	19538	12536	2153	12513	19204	18590	12524	17858	5008	5742	13584	14460	13252	12949	568	18036	1138	8416	9496	11561	18696	2533
12477	12900	7201	18784	19993	15153	11509	3001	14333	19037	19760	6336	14749	5543	8706	7257	860	19337	13560	4738	19545	16123	15229	1345	12631
7894	3076	12305	7269	7398	19059	10117	2210	2753	12709	18007	8163	18220	15730	18435	12022	5711	723	16614	16594	11985	14211	15112	4146	13191
12418	8026	2588	19601	388	11876	6535	556	1189	10227	8057	10354	17814	5586	17834	3405	3235	3604	14388	5139	4344	10216	17318	16378	15573
5057	7653	10271	2616	8156	5623	15888	18051	19283	8273	13347	10900	775	19777	10652	9414	6571	13902	7840	608	18379	3667	3427	11926	11403
13461	18802	9811	11264	13572	233	17280	893	5316	10970	15709	9625	14567	14344	13361	4861	17744	19099	273	3675	16341	288	8569	7791	6360
6935	19635	14929	11046	5782	18298	4823	6515	1401	5370	18738	462	16598	14439	17897	7663	1264	7511	18198	17336	19375	2703	16969	10281	7302
10875	17082	7620	6223	10163	17479	5933	16000	6398	15788	15563	5841	1014	13311	16171	19671	17621	8601	17386	12882	12636	2933	8707	6417	14340
7726	10359	9540	18532	8377	17716	11250	571	18004	4538	1524	10035	8964	10473	3700	3671	15082	15456	12407	4960	2030	8819	4844	15609	14709
11621	7547	2541	5455	19048	18349	7600	5462	14619	19381	12178	8138	7351	13728	3536	1562	2295	6551	5422	18525	520	3537	18021	3962	11013
8928	10183	5650	13884	14260	10718	14472	57	18820	4925	13860	19040	425	3263	5320	16960	18367	13771	11796	6915	15416	4494	6398	1051	11451
19766	7957	6981	5502	2516	7509	9323	1683	19056	18886	17005	11834	8934	8046	68	14507	12189	9218	12129	6069	18716	5070	10320	5021	10568
17407	1904	2236	7359	13948	8912	2994	19954	18635	7184	15271	2506	316	744	14390	9465	14192	1316	12642	15178	11272	18723	12093	16984	13065
10527	4627	2124	17962	11351	9301	18146	658	13757	194	6070	2065	7937	11232	18998	10125	10279	16513	11514	2666	18695	16720	550	2421	1889
